unitcode,unitname,semester,type,level,major,credit_points,points_req,enrolment_req,incompatible_units,corequisites
CIVL5503,Underground Construction,S1,CORE_SP-ECIVL,5,,6,,,,
CIVL5504,Offshore Geomechanics,NS,CORE_SP-ECIVL,5,,6,,,,
CIVL5505,Design of Offshore Energy Facilities,S2,CORE_SP-ECIVL,5,,6,,,,
CIVL5550,Civil Infrastructure Design Project,NS,CORE_SP-ECIVL,5,,6,,,,
CIVL5552,Civil Structural Design Project,S2,CORE_SP-ECIVL,5,,6,,,,
EART1104,Discovering Earth,S2,CORE_SP-EMINE,1,,6,,,,
ELEC1303,Digital Systems,S2,CORE_SP-EAUTO;CORE_SP-EELEC,1,,6,,,ENSC3020,
ELEC2311,Digital System Design,S2,CORE_SP-EAUTO;CORE_SP-EELEC,2,,6,,,ELEC4406,
ELEC3014,Electronic Materials and Devices,S1,CORE_SP-EELEC,3,,6,,,ENSC3014,
ELEC3015,Signals and Systems,S2,CORE_SP-EELEC,3,,6,,,ENSC3015,
ELEC3016,Power and Machines,S2,CORE_SP-EAUTO;CORE_SP-EELEC,3,,6,,,ENSC3016,
ELEC3020,Embedded Systems,S2,CORE_SP-ESOFT;CORE_SP-EBIOM;CORE_SP-EELEC,3,SP-ESOFT,6,,BH011,ELEC4403;ENSC3020,
ELEC3021,Circuits and Electronics,S1,CORE_SP-EBIOM;CORE_SP-EELEC,3,,6,,,ENSC3021,
ELEC4401,Circuits and Electronic Systems,S1,CORE_SP-EELEC,4,,6,,,,
ELEC4402,Communications Systems,S2,CORE_SP-EELEC,4,,6,,,,
ELEC4404,Signal Processing,S1,CORE_SP-EELEC,4,,6,,,,
ELEC4407,Engineering Electromagnetics,NS,CORE_SP-EELEC,4,,6,,,,
ELEC4505,Power System Analysis,S1,CORE_SP-EELEC,4,,6,,,ELEC5505,
ELEC5506,Process Instrumentation and Control,S1,CORE_SP-EAUTO;CORE_SP-EELEC,5,,6,,,ELEC3320,
ELEC5552,Electrical and Electronic Engineering Design Project 2,S2,CORE_SP-EELEC,5,,6,,,,
ENSC1004,Engineering Materials,S2,CORE_SP-EAUTO;CORE_SP-EBIOM,1,,6,,,ENSC1002,
ENSC2003,Engineering Electrical Fundamentals,BOTH,CORE_SP-EMECH;CORE_SP-EBIOM;CORE_SP-EELEC;CORE_SP-EMINE,2,SP-EMECH,6,,,,MATH1012
ENSC2004,Engineering Mechanics,BOTH,CORE_SP-EMECH;CORE_SP-EBIOM;CORE_SP-ECIVL;CORE_SP-EELEC;CORE_SP-EENVI;CORE_SP-EMINE,2,SP-EMECH,6,,,ENSC2001;ENSC1002,
ENVE2013,Coastal Engineering Processes,S1,CORE_SP-EENVI,2,,6,,,ENSC3013,
ENVE2606,Grand Challenges in Environmental Engineering,S2,CORE_SP-EENVI,2,,6,,,,
ENVE2607,Modelling in Environmental Engineering,S1,CORE_SP-EENVI,2,,6,,,,
ENVE3402,Engineering Hydrology,S1,CORE_SP-ECIVL;CORE_SP-EENVI,3,,6,,,ENVE4402,
ENVE3403,Flow and Turbulence in Environmental Systems,S1,CORE_SP-EENVI,3,,6,,,ENVE4403,
ENVE3405,Ecological Engineering and Nature-based Solutions,S1,CORE_SP-EENVI,3,,6,,,ENVE4405,
ENVE3608,Environmental Monitoring and Analysis,NS,CORE_SP-EENVI,3,,6,,,,
ENVE3609,Designing as an Environmental Engineer,NS,CORE_SP-EENVI,3,,6,,,,
ENVE4401,Contaminant Fate and Transport,S2,CORE_SP-EENVI,4,,6,,,,
